text_ad_keyword_hits,desc_ad_keyword_hits,viewid_matches_ad_sdk,is_webview_with_content,is_clickable,has_close_button_label,text_length_bucket,depth_norm,child_count_norm,label
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.65,0.05,0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.7,0.05,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.475,0.5,0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.45,0.7,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.125,0.4,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.325,0.35,0
0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.25,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.6,0
0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.3,0.1,1
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.7,0.5,0
0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.2,0.0,1
0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.25,0.0,1
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.45,0.05,1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.4,0
1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.2,0.15,1
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.275,0.35,0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.575,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.175,0.2,0
1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.175,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.625,0.1,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.05,0.05,1
0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.175,0.0,1
0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.325,0.35,0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,0.1,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45,0.15,0
0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.425,0.05,0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.375,0.1,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.425,0.6,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.725,0.2,0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.025,0.1,0
1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.6,0.05,1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.15,0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.325,0.25,1
0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.05,0.55,0
0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.45,0.3,1
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.625,0.7,0
1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.225,0.25,1
0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.125,0.7,0
1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.25,0.25,1
1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.05,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,0.25,0
1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.05,0.0,1
0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.05,0.0,1
1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.55,0.1,1
1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.325,0.15,1
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.625,0.55,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.275,0.5,0
